Time,V(0),V(N001),V(N002),V(N003),V(N004),V(N005),I(C1),I(I1),I(I2),I(L1),I(L2),I(R1),I(R2),I(R3),I(R4),
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5e-05,0,0.855019,0.544187,0.544351,0.82226,0.545989,3.27594e-05,0.00314108,0.00314108,0.00041113,0.00272995,-3.27594e-05,-0.00276271,-0.00310832,-3.27594e-05,
0.0001,0,1.13747,0.517058,0.517596,1.06251,0.521344,7.49598e-05,0.00627905,0.00627905,0.000942384,0.00533667,-7.49598e-05,-0.00541163,-0.00620409,-7.49598e-05,
0.00015,0,1.41815,0.489679,0.490848,1.29201,0.497155,0.000126136,0.00941083,0.00941083,0.00158839,0.00782244,-0.000126136,-0.00794858,-0.0092847,-0.000126136,
0.0002,0,1.69676,0.462015,0.464113,1.51093,0.473405,0.00018583,0.0125333,0.0125333,0.00234386,0.0101895,-0.00018583,-0.0103753,-0.0123475,-0.00018583,
0.00025,0,1.97302,0.434036,0.437402,1.71943,0.450082,0.000253593,0.0156434,0.0156434,0.00320357,0.0124399,-0.000253593,-0.0126935,-0.0153899,-0.000253593,
0.0003,0,2.24663,0.405712,0.410723,1.91764,0.427173,0.000328982,0.0187381,0.0187381,0.00416239,0.0145757,-0.000328982,-0.0149047,-0.0184091,-0.000328982,
0.00035,0,2.51729,0.377018,0.384087,2.10573,0.404666,0.000411565,0.0218143,0.0218143,0.00521526,0.0165991,-0.000411565,-0.0170106,-0.0214028,-0.000411565,
0.0004,0,2.78474,0.347931,0.357505,2.28382,0.382551,0.000500915,0.024869,0.024869,0.00635717,0.0185118,-0.000500915,-0.0190127,-0.0243681,-0.000500915,
0.00045,0,3.04868,0.31843,0.330987,2.45207,0.360817,0.000596611,0.0278991,0.0278991,0.0075832,0.0203159,-0.000596611,-0.0209125,-0.0273025,-0.000596611,
0.0005,0,3.30884,0.288498,0.304546,2.6106,0.339458,0.000698242,0.0309017,0.0309017,0.00888851,0.0220132,-0.000698242,-0.0227114,-0.0302035,-0.000698242,
0.00055,0,3.56496,0.258118,0.278193,2.75955,0.318463,0.000805403,0.0338738,0.0338738,0.0102683,0.0236055,-0.000805403,-0.0244109,-0.0330684,-0.000805403,
0.0006,0,3.81675,0.227278,0.251942,2.89906,0.297827,0.000917694,0.0368125,0.0368125,0.0117178,0.0250946,-0.000917694,-0.0260123,-0.0358948,-0.000917694,
0.00065,0,4.06397,0.195968,0.225806,3.02925,0.277542,0.00103473,0.0397148,0.0397148,0.0132324,0.0264824,-0.00103473,-0.0275171,-0.0386801,-0.00103473,
